section,key,m2,value,unit,room,guide
rule,cooling_btu_per_m2,,340,BTU/h per m2,,
rule,mould_threshold_rh_percent,,60,% RH,,
rule,monoblock_ceiling_btu,,13500,BTU/h,,
rule,cost_basis_eur_per_kwh,,0.3,EUR/kWh,,
rule,heating_w_per_m2_insulated,,60-100,W per m2,,
cooling_btu,btu_class,10,5.000–7.000,BTU/h,,https://getecoback.com/guide/klimaanlage-10-qm.html
cooling_btu,btu_class,15,7.000–9.000,BTU/h,,https://getecoback.com/guide/klimaanlage-15-qm.html
cooling_btu,btu_class,20,9.000,BTU/h,,https://getecoback.com/guide/klimaanlage-20-qm.html
cooling_btu,btu_class,25,10.000–12.000,BTU/h,,https://getecoback.com/guide/klimaanlage-25-qm.html
cooling_btu,btu_class,30,12.000–13.000,BTU/h,,https://getecoback.com/guide/klimaanlage-30-qm.html
cooling_btu,btu_class,40,14.000+ / Split,BTU/h,,https://getecoback.com/guide/klimaanlage-40-qm.html
dehumidifier_l_per_day,liters_per_day,10,10–12,L/day,Bad oder kleiner Raum,https://getecoback.com/guide/luftentfeuchter-10-qm.html
dehumidifier_l_per_day,liters_per_day,15,12–16,L/day,Schlaf- oder Arbeitszimmer,https://getecoback.com/guide/luftentfeuchter-15-qm.html
dehumidifier_l_per_day,liters_per_day,20,16–20,L/day,Wohnzimmer oder Schlafzimmer,https://getecoback.com/guide/luftentfeuchter-20-qm.html
dehumidifier_l_per_day,liters_per_day,25,20,L/day,größeres Wohnzimmer,https://getecoback.com/guide/luftentfeuchter-25-qm.html
dehumidifier_l_per_day,liters_per_day,30,20–25,L/day,offener Wohnbereich,https://getecoback.com/guide/luftentfeuchter-30-qm.html
dehumidifier_l_per_day,liters_per_day,40,25–30,L/day,Keller oder sehr großer Raum,https://getecoback.com/guide/luftentfeuchter-40-qm.html
heating_watt,watt,10,600–800,W,kleines Büro oder Badezimmer,https://getecoback.com/guide/heizung-10-qm.html
heating_watt,watt,15,900–1.200,W,Arbeitszimmer oder kleines Wohnzimmer,https://getecoback.com/guide/heizung-15-qm.html
heating_watt,watt,20,1.200–1.600,W,Wohnzimmer oder Schlafzimmer,https://getecoback.com/guide/heizung-20-qm.html
heating_watt,watt,25,1.500–2.000,W,größeres Wohnzimmer,https://getecoback.com/guide/heizung-25-qm.html
heating_watt,watt,30,1.800–2.400,W,offener Wohnbereich,https://getecoback.com/guide/heizung-30-qm.html
heating_watt,watt,40,2.400–3.200,W,sehr großer oder offener Raum,https://getecoback.com/guide/heizung-40-qm.html
heating_watt,watt,50,3.000–4.000,W,sehr großer offener Bereich,https://getecoback.com/guide/heizung-50-qm.html
