title,url,heightCm,weightKg,weightLb,priceUsd,isPartialBody
"150cm (4ft11) F-Cup TPE Sex Doll, Head #225, in US Stock",https://www.yourdoll.com/product/sex-doll-abd131-3/,150,33,73,899,false
"150cm (4ft11) F-Cup TPE Sex Doll, Head #228, in USA Stock",https://www.yourdoll.com/product/sex-doll-abd130-1/,150,33,73,899,false
"150cm (4ft11) F-Cup TPE Sex Doll, Head #228, in EU Stock",https://www.yourdoll.com/product/sex-doll-abd130-2/,150,33,73,1099,false
"150cm (4ft11) F-Cup TPE Sex Doll, Head #225, in EU Stock",https://www.yourdoll.com/product/sex-doll-abd131-2/,150,33,73,1099,false
"150cm (4ft11) TPE Sex Doll Richelle, Ready to Ship from USA, Flash Sale",https://www.yourdoll.com/product/sex-doll-itd020-1/,150,27,60,1199,false
"150cm (4ft11) S-TPE Elf Sex Doll Elsa, In EU Stock",https://www.yourdoll.com/product/sex-doll-sed065-2/,150,27,60,1231.65,false
"160cm (5ft2) C-Cup S-TPE Sex Doll Tracy.B, Head #L76, in USA Stock",https://www.yourdoll.com/product/sex-doll-sed333-3/,160,38.6,85,1231.65,false
"160cm (5ft2) C-Cup STPE Sex Doll Hazel.E, Head #127, in EU Stock",https://www.yourdoll.com/product/sex-doll-sed335-2/,160,38.6,85,1231.65,false
"150cm (4ft11) B-Cup Cosplay Sex Doll XiXi, ROS Available",https://www.yourdoll.com/product/sex-doll-she456/,150,36,79,1299,false
"160cm (5ft3) C-Cup Hybrid Love Doll Trijntje, Silicone Head S10, In USA Stock",https://www.yourdoll.com/product/sex-doll-syd062-5/,160,36,79,1299,false
"150cm (4ft11) D-cup Sex Doll Rhiannon, Head N7, in US Stock",https://www.yourdoll.com/product/sex-doll-6yd059-2/,150,26.8,59,1349,false
"150cm (4ft11) B-cup Sex Doll Salomea, Head N20, in USA Stock",https://www.yourdoll.com/product/sex-doll-6yd139-2/,150,26,57,1349,false
150cm (4ft11) S-TPE Sex Doll Nova,https://www.yourdoll.com/product/sex-doll-ikd272/,150,35,77,1485,false
150cm (4ft11) S-TPE Sex Doll Sora,https://www.yourdoll.com/product/sex-doll-ikd273/,150,35,77,1485,false
150cm (4ft11) S-TPE Sex Doll Misaki,https://www.yourdoll.com/product/sex-doll-ikd261/,150,35,77,1485,false
150cm (4ft11) S-TPE Sex Doll Hiiro,https://www.yourdoll.com/product/sex-doll-ikd246/,150,35,77,1485,false
160cm (5ft3) Furry Snake All In One Silicone Sex Doll,https://www.yourdoll.com/product/sex-doll-dcd221/,160,37,82,1499,false
Big Breast N-cup Merna,https://www.yourdoll.com/product/sex-doll-yld016/,140,28,62,1549,true
"140cm (4ft7) Silicone Doll Torso BR-4, ROS Head, #Y39 Eva, in EU Stock",https://www.yourdoll.com/product/sex-doll-yed040-1/,140,29.5,65,1599,true
